episode,reward,length,loss,timestep
187,171.0,172,19.531705856323242,25313
188,84.0,85,19.531705856323242,25398
189,83.0,84,19.531705856323242,25482
190,294.0,295,19.531705856323242,25777
191,124.0,125,19.531705856323242,25902
192,169.0,170,19.531705856323242,26072
193,171.0,172,19.531705856323242,26244
194,169.0,170,19.531705856323242,26414
195,300.0,301,38.02620315551758,26715
196,145.0,146,38.02620315551758,26861
197,173.0,174,38.02620315551758,27035
198,145.0,146,38.02620315551758,27181
199,85.0,86,38.02620315551758,27267
200,86.0,87,38.02620315551758,27354
201,52.0,53,38.02620315551758,27407
202,174.0,175,38.02620315551758,27582
203,58.0,59,38.02620315551758,27641
204,301.0,302,38.02620315551758,27943
205,145.0,146,38.02620315551758,28089
206,145.0,146,38.02620315551758,28235
207,174.0,175,38.02620315551758,28410
208,295.0,296,75.9764175415039,28706
209,173.0,174,75.9764175415039,28880
210,86.0,87,75.9764175415039,28967
211,169.0,170,75.9764175415039,29137
212,86.0,87,75.9764175415039,29224
213,86.0,87,75.9764175415039,29311
214,173.0,174,75.9764175415039,29485
215,168.0,169,75.9764175415039,29654
216,54.0,55,75.9764175415039,29709
217,145.0,146,75.9764175415039,29855
218,126.0,127,75.9764175415039,29982
219,120.0,121,75.9764175415039,30103
220,83.0,84,75.9764175415039,30187
221,168.0,169,75.9764175415039,30356
222,78.0,79,75.9764175415039,30435
223,174.0,175,75.9764175415039,30610
224,145.0,146,65.26329040527344,30756
225,145.0,146,65.26329040527344,30902
226,124.0,125,65.26329040527344,31027
227,298.0,299,65.26329040527344,31326
228,171.0,172,65.26329040527344,31498
229,145.0,146,65.26329040527344,31644
230,300.0,301,65.26329040527344,31945
231,55.0,56,65.26329040527344,32001
232,297.0,298,65.26329040527344,32299
233,55.0,56,65.26329040527344,32355
234,52.0,53,65.26329040527344,32408
235,54.0,55,65.26329040527344,32463
236,87.0,88,65.26329040527344,32551
237,57.0,58,65.26329040527344,32609
238,55.0,56,65.26329040527344,32665
239,123.0,124,67.74822235107422,32789
240,54.0,55,67.74822235107422,32844
241,85.0,86,67.74822235107422,32930
242,170.0,171,67.74822235107422,33101
243,145.0,146,67.74822235107422,33247
244,145.0,146,67.74822235107422,33393
245,174.0,175,67.74822235107422,33568
246,172.0,173,67.74822235107422,33741
247,174.0,175,67.74822235107422,33916
248,173.0,174,67.74822235107422,34090
249,85.0,86,67.74822235107422,34176
250,54.0,55,67.74822235107422,34231
251,124.0,125,67.74822235107422,34356
252,171.0,172,67.74822235107422,34528
253,167.0,168,67.74822235107422,34696
254,296.0,297,75.05746459960938,34993
255,54.0,55,75.05746459960938,35048
256,57.0,58,75.05746459960938,35106
257,127.0,128,75.05746459960938,35234
258,296.0,297,75.05746459960938,35531
259,54.0,55,75.05746459960938,35586
260,122.0,123,75.05746459960938,35709
261,170.0,171,75.05746459960938,35880
262,296.0,297,75.05746459960938,36177
263,86.0,87,75.05746459960938,36264
264,54.0,55,75.05746459960938,36319
265,55.0,56,75.05746459960938,36375
266,132.0,133,75.05746459960938,36508
267,54.0,55,75.05746459960938,36563
268,84.0,85,75.05746459960938,36648
269,85.0,86,75.05746459960938,36734
270,294.0,295,64.37074279785156,37029
271,55.0,56,64.37074279785156,37085
272,53.0,54,64.37074279785156,37139
273,169.0,170,64.37074279785156,37309
274,124.0,125,64.37074279785156,37434
275,171.0,172,64.37074279785156,37606
276,169.0,170,64.37074279785156,37776
277,170.0,171,64.37074279785156,37947
278,85.0,86,64.37074279785156,38033
279,120.0,121,64.37074279785156,38154
280,166.0,167,64.37074279785156,38321
281,85.0,86,64.37074279785156,38407
282,300.0,301,64.37074279785156,38708
283,86.0,87,64.37074279785156,38795
284,55.0,56,64.37074279785156,38851
285,170.0,171,49.560760498046875,39022
286,128.0,129,49.560760498046875,39151
287,174.0,175,49.560760498046875,39326
288,145.0,146,49.560760498046875,39472
289,172.0,173,49.560760498046875,39645
290,55.0,56,49.560760498046875,39701
291,56.0,57,49.560760498046875,39758
292,301.0,302,49.560760498046875,40060
293,298.0,299,49.560760498046875,40359
294,128.0,129,49.560760498046875,40488
295,174.0,175,49.560760498046875,40663
296,174.0,175,49.560760498046875,40838
297,126.0,127,76.88322448730469,40965
298,145.0,146,76.88322448730469,41111
299,85.0,86,76.88322448730469,41197
300,145.0,146,76.88322448730469,41343
301,54.0,55,76.88322448730469,41398
302,123.0,124,76.88322448730469,41522
303,127.0,128,76.88322448730469,41650
304,86.0,87,76.88322448730469,41737
305,176.0,177,76.88322448730469,41914
306,230.0,231,76.88322448730469,42145
307,300.0,301,76.88322448730469,42446
308,145.0,146,76.88322448730469,42592
309,172.0,173,76.88322448730469,42765
310,174.0,175,76.88322448730469,42940
311,171.0,172,63.278167724609375,43112
312,121.0,122,63.278167724609375,43234
313,168.0,169,63.278167724609375,43403
314,171.0,172,63.278167724609375,43575
315,173.0,174,63.278167724609375,43749
316,54.0,55,63.278167724609375,43804
317,301.0,302,63.278167724609375,44106
318,85.0,86,63.278167724609375,44192
319,298.0,299,63.278167724609375,44491
320,302.0,303,63.278167724609375,44794
321,52.0,53,63.278167724609375,44847
322,125.0,126,63.278167724609375,44973
323,122.0,123,51.228389739990234,45096
324,175.0,176,51.228389739990234,45272
325,146.0,147,51.228389739990234,45419
326,145.0,146,51.228389739990234,45565
327,298.0,299,51.228389739990234,45864
328,85.0,86,51.228389739990234,45950
329,125.0,126,51.228389739990234,46076
330,173.0,174,51.228389739990234,46250
331,301.0,302,51.228389739990234,46552
332,123.0,124,51.228389739990234,46676
333,55.0,56,51.228389739990234,46732
334,83.0,84,51.228389739990234,46816
335,85.0,86,51.228389739990234,46902
336,54.0,55,51.228389739990234,46957
337,54.0,55,51.228389739990234,47012
338,85.0,86,51.228389739990234,47098
339,147.0,148,43.29777908325195,47246
340,298.0,299,43.29777908325195,47545
341,298.0,299,43.29777908325195,47844
342,145.0,146,43.29777908325195,47990
343,298.0,299,43.29777908325195,48289
344,125.0,126,43.29777908325195,48415
345,86.0,87,43.29777908325195,48502
346,145.0,146,43.29777908325195,48648
347,171.0,172,43.29777908325195,48820
348,172.0,173,43.29777908325195,48993
349,85.0,86,43.29777908325195,49079
350,294.0,295,40.517478942871094,49374
351,87.0,88,40.517478942871094,49462
352,54.0,55,40.517478942871094,49517
353,175.0,176,40.517478942871094,49693
354,174.0,175,40.517478942871094,49868
355,171.0,172,40.517478942871094,50040
356,84.0,85,40.517478942871094,50125
357,125.0,126,40.517478942871094,50251
358,301.0,302,40.517478942871094,50553
359,125.0,126,40.517478942871094,50679
360,121.0,122,40.517478942871094,50801
361,298.0,299,40.517478942871094,51100
362,172.0,173,46.36190414428711,51273
363,83.0,84,46.36190414428711,51357
364,126.0,127,46.36190414428711,51484
365,127.0,128,46.36190414428711,51612
366,171.0,172,46.36190414428711,51784
367,173.0,174,46.36190414428711,51958
368,145.0,146,46.36190414428711,52104
369,145.0,146,46.36190414428711,52250
370,85.0,86,46.36190414428711,52336
371,173.0,174,46.36190414428711,52510
372,299.0,300,46.36190414428711,52810
373,85.0,86,46.36190414428711,52896
374,145.0,146,46.36190414428711,53042
375,85.0,86,46.36190414428711,53128
376,170.0,171,42.23296356201172,53299
377,126.0,127,42.23296356201172,53426
378,174.0,175,42.23296356201172,53601
379,172.0,173,42.23296356201172,53774
380,83.0,84,42.23296356201172,53858
381,124.0,125,42.23296356201172,53983
382,145.0,146,42.23296356201172,54129
383,173.0,174,42.23296356201172,54303
384,85.0,86,42.23296356201172,54389
385,129.0,130,42.23296356201172,54519
386,171.0,172,42.23296356201172,54691
387,84.0,85,42.23296356201172,54776
388,124.0,125,42.23296356201172,54901
